FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
T57A0416,翔明國際股份有限公司,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
T57A0416,翔明國際股份有限公司,2016年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
T5704717,鍇霖企業有限公司枋寮廠,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
T5704717,鍇霖企業有限公司枋寮廠,2016年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
T5104646,豊圳有限公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
T5104646,豊圳有限公司,2016年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2016年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
K7102978,毅和實業有限公司,2016年第4季,0,公噸,0.001,公噸,0,公噸,0,公噸,完成核算
K7102978,毅和實業有限公司,2016年第3季,0,公噸,0.001,公噸,0,公噸,0,公噸,完成核算
H48B0257,國順預拌混凝土股份有限公司龍華廠,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2016年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2016年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E20A4374,勵龍股份有限公司大發廠,2016年第2季,0,公噸,4.052,公噸,0,公噸,0,公噸,完成核算
E20A4374,勵龍股份有限公司大發廠,2016年第1季,0,公噸,4.135,公噸,0,公噸,0,公噸,完成核算
B9305535,恩諾基科技有限公司,2016年第2季,0,公噸,0.001,公噸,0,公噸,0,公噸,完成核算
B9305535,恩諾基科技有限公司,2016年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
S2404173,順昱泡棉有限公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
S2213707,益利達資源科技股份有限公司,2016年第4季,0.013,公噸,0,公噸,0,公噸,0,公噸,完成核算
N15A2609,大河凡而精機廠股份有限公司線西廠,2016年第4季,0.096,公噸,0,公噸,0.004,公噸,0.019,公噸,完成核算
L0506872,現太化工有限公司,2016年第4季,0.054,公噸,0,公噸,0.003,公噸,0.002,公噸,完成核算
L0403885,河清金屬工業股份有限公司,2016年第4季,3.134,公噸,0,公噸,0,公噸,0,公噸,完成核算
K71A1657,威華微機電股份有限公司,2016年第4季,0.988,公噸,0,公噸,0,公噸,0,公噸,完成核算
J59B5041,聯合再生能源股份有限公司新竹二廠,2016年第4季,0.251,公噸,0,公噸,0,公噸,0,公噸,完成核算
J59B5031,聯合再生能源股份有限公司新竹一廠,2016年第4季,7.52,公噸,0,公噸,0,公噸,0,公噸,完成核算
J5901603,權亞石材股份有限公司,2016年第4季,1.83,公噸,0,公噸,0.009,公噸,0.112,公噸,完成核算
J5700115,順進橡膠工業股份有限公司,2016年第4季,0.921,公噸,0,公噸,0,公噸,0,公噸,完成核算
H48B5524,至大食品股份有限公司,2016年第4季,0,公噸,0,公噸,0.076,公噸,0.053,公噸,完成核算
H48B2253,正洸股份有限公司桃園廠,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
F1305393,擁立企業股份有限公司,2016年第4季,2.728,公噸,0,公噸,0,公噸,0,公噸,完成核算
F11B0402,精華光學股份有限公司亞太廠,2016年第4季,12.728,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F11B0393,精華光學股份有限公司汐止二廠,2016年第4季,2.353,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F11B0383,精華光學股份有限公司,2016年第4季,2.973,公噸,0,公噸,0,公噸,0,公噸,核算確認中
F09A5035,華城工業股份有限公司,2016年第4季,0,公噸,0,公噸,0.766,公噸,0.516,公噸,完成核算
E5504335,中信造船股份有限公司林盛廠,2016年第4季,2.32,公噸,0,公噸,0,公噸,0,公噸,完成核算
E5503276,中信造船股份有限公司新高廠,2016年第4季,2.32,公噸,0,公噸,0,公噸,0,公噸,完成核算
E5503267,中信造船股份有限公司,2016年第4季,2.32,公噸,0,公噸,0,公噸,0,公噸,完成核算
E5503258,中信造船股份有限公司新天二廠,2016年第4季,8.12,公噸,0,公噸,0,公噸,0,公噸,完成核算
E51A3759,雲端旅館股份有限公司,2016年第4季,0,公噸,0,公噸,0.019,公噸,0.013,公噸,完成核算
E3300526,華德優而優股份有限公司,2016年第4季,27.854,公噸,0,公噸,0,公噸,0,公噸,完成申報
E3001635,富豐顧問有限公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2904388,新光商務旅館,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E1510177,海星運動有限公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
B9003803,德金成實業有限公司,2016年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
B8802517,壯佳果股份有限公司幼獅廠,2016年第4季,0.655,公噸,0,公噸,0,公噸,0,公噸,完成核算
B8800764,展弈金屬企業有限公司,2016年第4季,0,公噸,0,公噸,0.002,公噸,0.001,公噸,完成核算
