MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
D01051,臺南市玉井區臺84線及南182-1鄉道附近(2),2018-10-26,臺南市,玉井區,臺84線及南182-1鄉道附近(相鄰兩座中，高處的維修平臺是圓形的塔),手機基地臺,1.4E-06,mW/cm<sup>2</sup>,True
N01028,彰化縣花壇鄉中山路一段380號(全家),2018-11-14,彰化縣,花壇鄉,中山路一段380號,無線區域網路(Wi-Fi),3E-07,mW/cm<sup>2</sup>,True
N01025,彰化縣永靖鄉西門路97號(7-11),2018-11-13,彰化縣,永靖鄉,西門路97號,無線區域網路(Wi-Fi),2E-07,mW/cm<sup>2</sup>,True
N01024,彰化縣永靖鄉永坡路2號(7-11),2018-11-13,彰化縣,永靖鄉,永坡路2號,無線區域網路(Wi-Fi),6E-07,mW/cm<sup>2</sup>,True
O01064,新竹市北大路與府後街路口落地型變壓器量測,2018-11-06,新竹市,北區,新竹市北大路與府後街路口,落地型變壓器,6.85,mG,True
N01023,彰化縣永靖鄉中山路二段435號(7-11),2018-11-13,彰化縣,永靖鄉,中山路二段435號,無線區域網路(Wi-Fi),1.1E-06,mW/cm<sup>2</sup>,True
D01052,臺南市玉井區臺84線及南182-1鄉道附近(3),2018-10-26,臺南市,玉井區,臺84線及南182-1鄉道附近(相鄰兩座中，高處的維修平臺是三角形的塔),手機基地臺,1.1E-06,mW/cm<sup>2</sup>,True
D01050,臺南市玉井區臺84線及南182-1鄉道附近(1),2018-10-26,臺南市,玉井區,臺84線及南182-1鄉道附近(三座塔當中最靠近北方且單獨座落的塔),手機基地臺,1.5E-06,mW/cm<sup>2</sup>,True
O01078,新竹市育英路落地型變壓器量測,2018-11-15,新竹市,北區,新竹市育英路72號前(近天公壇),落地型變壓器,101.2,mG,True
D01049,臺南市永康區大灣路942巷169弄(國道一號附近),2018-11-02,臺南市,永康區,大灣路942巷169弄(國道一號附近),手機基地臺,2.1E-06,mW/cm<sup>2</sup>,True
D01048,臺南市永康區永二街245巷,2018-11-02,臺南市,永康區,永二街245巷,手機基地臺,2.6E-06,mW/cm<sup>2</sup>,True
O01077,新竹市寶山路452巷落地型變壓器量測,2018-11-15,新竹市,東區,新竹市寶山路452巷與高翠路73巷2弄,落地型變壓器,10.49,mG,True
O01067,新竹市北大路與演藝路路口落地型變壓器量測,2018-11-14,新竹市,北區,新竹市北大路與演藝路路口,落地型變壓器,6.95,mG,True
O01066,新竹市中央路與文化街口落地型變壓器量測,2018-11-06,新竹市,北區,新竹市中央路與文化街口,落地型變壓器,3.86,mG,True
O01065,新竹市文化街與世界街路口落地型變壓器量測,2018-11-06,新竹市,東區,新竹市文化街與世界街路口,落地型變壓器,5.99,mG,True
O01075,新竹市建功二路與建功路落地型變壓器量測,2018-11-13,新竹市,東區,新竹市建功二路與建功路路口(建功高中旁),落地型變壓器,9.96,mG,True
