SiteName,MonitorDate,Concentration,ItemUnit
馬公,2019-01-30,21,μg/m3
金門,2019-01-30,40,μg/m3
馬祖,2019-01-30,28,μg/m3
復興,2019-01-30,42,μg/m3
宜蘭,2019-01-30,11,μg/m3
陽明,2019-01-30,13,μg/m3
花蓮,2019-01-30,10,μg/m3
臺東,2019-01-30,9,μg/m3
恆春,2019-01-30,9,μg/m3
屏東,2019-01-30,36,μg/m3
前金,2019-01-30,40,μg/m3
林園,2019-01-30,39,μg/m3
美濃,2019-01-30,27,μg/m3
臺南,2019-01-30,59,μg/m3
新營,2019-01-30,58,μg/m3
嘉義,2019-01-30,57,μg/m3
朴子,2019-01-30,59,μg/m3
斗六,2019-01-30,54,μg/m3
南投,2019-01-30,26,μg/m3
彰化,2019-01-30,47,μg/m3
忠明,2019-01-30,37,μg/m3
豐原,2019-01-30,29,μg/m3
三義,2019-01-30,22,μg/m3
苗栗,2019-01-30,40,μg/m3
新竹,2019-01-30,41,μg/m3
竹東,2019-01-30,25,μg/m3
平鎮,2019-01-30,34,μg/m3
桃園,2019-01-30,34,μg/m3
萬華,2019-01-30,27,μg/m3
士林,2019-01-30,28,μg/m3
板橋,2019-01-30,32,μg/m3
汐止,2019-01-30,22,μg/m3
基隆,2019-01-30,23,μg/m3
馬公,2019-01-27,12,μg/m3
金門,2019-01-27,25,μg/m3
馬祖,2019-01-27,19,μg/m3
宜蘭,2019-01-27,9,μg/m3
陽明,2019-01-27,5,μg/m3
花蓮,2019-01-27,8,μg/m3
臺東,2019-01-27,7,μg/m3
恆春,2019-01-27,11,μg/m3
屏東,2019-01-27,38,μg/m3
前金,2019-01-27,30,μg/m3
林園,2019-01-27,37,μg/m3
美濃,2019-01-27,32,μg/m3
臺南,2019-01-27,23,μg/m3
新營,2019-01-27,19,μg/m3
嘉義,2019-01-27,23,μg/m3
朴子,2019-01-27,16,μg/m3
斗六,2019-01-27,23,μg/m3
南投,2019-01-27,17,μg/m3
彰化,2019-01-27,15,μg/m3
忠明,2019-01-27,14,μg/m3
豐原,2019-01-27,13,μg/m3
三義,2019-01-27,12,μg/m3
苗栗,2019-01-27,12,μg/m3
新竹,2019-01-27,10,μg/m3
竹東,2019-01-27,9,μg/m3
平鎮,2019-01-27,9,μg/m3
桃園,2019-01-27,9,μg/m3
萬華,2019-01-27,9,μg/m3
士林,2019-01-27,7,μg/m3
板橋,2019-01-27,9,μg/m3
汐止,2019-01-27,9,μg/m3
基隆,2019-01-27,9,μg/m3
馬公,2019-01-24,,μg/m3
金門,2019-01-24,48,μg/m3
馬祖,2019-01-24,52,μg/m3
宜蘭,2019-01-24,28,μg/m3
陽明,2019-01-24,20,μg/m3
花蓮,2019-01-24,21,μg/m3
臺東,2019-01-24,17,μg/m3
恆春,2019-01-24,13,μg/m3
屏東,2019-01-24,49,μg/m3
前金,2019-01-24,58,μg/m3
林園,2019-01-24,53,μg/m3
美濃,2019-01-24,37,μg/m3
臺南,2019-01-24,52,μg/m3
新營,2019-01-24,47,μg/m3
嘉義,2019-01-24,57,μg/m3
朴子,2019-01-24,40,μg/m3
斗六,2019-01-24,52,μg/m3
南投,2019-01-24,39,μg/m3
彰化,2019-01-24,37,μg/m3
忠明,2019-01-24,34,μg/m3
大里,2019-01-24,,μg/m3
豐原,2019-01-24,26,μg/m3
三義,2019-01-24,33,μg/m3
苗栗,2019-01-24,32,μg/m3
新竹,2019-01-24,27,μg/m3
竹東,2019-01-24,23,μg/m3
平鎮,2019-01-24,27,μg/m3
桃園,2019-01-24,27,μg/m3
萬華,2019-01-24,25,μg/m3
士林,2019-01-24,22,μg/m3
板橋,2019-01-24,25,μg/m3
汐止,2019-01-24,25,μg/m3
基隆,2019-01-24,23,μg/m3
馬公,2019-01-21,23,μg/m3
金門,2019-01-21,83,μg/m3
馬祖,2019-01-21,78,μg/m3
宜蘭,2019-01-21,7,μg/m3
陽明,2019-01-21,3,μg/m3
花蓮,2019-01-21,5,μg/m3
臺東,2019-01-21,4,μg/m3
恆春,2019-01-21,3,μg/m3
屏東,2019-01-21,46,μg/m3
前金,2019-01-21,45,μg/m3
林園,2019-01-21,51,μg/m3
美濃,2019-01-21,41,μg/m3
臺南,2019-01-21,32,μg/m3
新營,2019-01-21,26,μg/m3
嘉義,2019-01-21,27,μg/m3
朴子,2019-01-21,27,μg/m3
斗六,2019-01-21,23,μg/m3
南投,2019-01-21,18,μg/m3
彰化,2019-01-21,18,μg/m3
忠明,2019-01-21,15,μg/m3
大里,2019-01-21,,μg/m3
豐原,2019-01-21,12,μg/m3
三義,2019-01-21,15,μg/m3
苗栗,2019-01-21,18,μg/m3
新竹,2019-01-21,18,μg/m3
竹東,2019-01-21,,μg/m3
平鎮,2019-01-21,16,μg/m3
桃園,2019-01-21,16,μg/m3
萬華,2019-01-21,13,μg/m3
士林,2019-01-21,8,μg/m3
板橋,2019-01-21,13,μg/m3
汐止,2019-01-21,14,μg/m3
基隆,2019-01-21,13,μg/m3
馬公,2019-01-18,,μg/m3
金門,2019-01-18,30,μg/m3
馬祖,2019-01-18,39,μg/m3
宜蘭,2019-01-18,15,μg/m3
陽明,2019-01-18,12,μg/m3
花蓮,2019-01-18,16,μg/m3
臺東,2019-01-18,13,μg/m3
恆春,2019-01-18,11,μg/m3
屏東,2019-01-18,40,μg/m3
前金,2019-01-18,39,μg/m3
林園,2019-01-18,40,μg/m3
美濃,2019-01-18,33,μg/m3
臺南,2019-01-18,39,μg/m3
新營,2019-01-18,36,μg/m3
嘉義,2019-01-18,42,μg/m3
朴子,2019-01-18,34,μg/m3
斗六,2019-01-18,39,μg/m3
南投,2019-01-18,31,μg/m3
彰化,2019-01-18,29,μg/m3
忠明,2019-01-18,25,μg/m3
大里,2019-01-18,,μg/m3
豐原,2019-01-18,24,μg/m3
三義,2019-01-18,19,μg/m3
苗栗,2019-01-18,19,μg/m3
新竹,2019-01-18,18,μg/m3
竹東,2019-01-18,,μg/m3
