區域,4G下載,4G上傳,3G下載,3G上傳
基隆市,59.07,25.04,10.62,1.69
宜蘭縣,46.98,23.04,8.87,1.6
台北市,59.35,24.33,8.96,1.64
新北市,52.62,21.88,9.48,1.53
桃園市,50.71,21.83,8.77,1.45
新竹市,60.83,24.95,10.31,1.6
新竹縣,54.72,20.33,8.72,1.45
苗栗縣,59.97,19.16,9.45,1.59
台中市,55.19,22.17,9.71,1.6
彰化縣,47.94,15.79,7.96,1.5
南投縣,57.67,19.53,9.71,1.64
雲林縣,49.21,17.52,8.61,1.6
嘉義市,50.85,24.82,10.25,1.93
嘉義縣,47.31,18.42,8.6,1.74
台南市,49.26,20.24,9.4,1.85
高雄市,53.21,23.2,10.39,1.93
屏東縣,49.82,20.1,9.69,1.91
台東縣,47.67,21.98,9.76,1.92
花蓮縣,56.21,24.1,8.97,1.63
金門縣,51.1,13.75,9.31,1.46
澎湖縣,49.82,19.29,9.88,1.82
連江縣,47.65,18.69,9.24,1.42
