"lineid","car","time","location","longitude","latitude","cityid","cityname"
"232018","290-BY","2019/11/21 06:43:51","新北市坪林區鶯子瀨11-1號","121.710993333333","24.91509","6502000","坪林區"
"232007","291-BY","2019/11/21 06:43:46","新北市坪林區鶯子瀨1-2號","121.708415","24.9184016666667","6502000","坪林區"
"232010","375-UM","2019/11/21 06:43:47","新北市坪林區北宜路八段558號","121.718045","24.909235","6502000","坪林區"
"232014","705-BZ","2019/11/21 06:43:55","新北市坪林區北宜路八段553號","121.717936666667","24.9097833333333","6502000","坪林區"
"232001","758-BX","2019/11/21 06:43:58","新北市坪林區北宜路八段462號","121.70548","24.9223033333333","6502000","坪林區"
"223002","KEA-2673","2019/11/21 06:43:44","新北市石碇區摸乳巷7號","121.660518333333","24.98267","6501900","石碇區"
"223003","205-TH","2019/11/21 06:43:59","新北市石碇區湳窟26號","121.662606666667","24.9919366666667","6501900","石碇區"
"223008","406-TH","2019/11/21 06:43:41","新北市石碇區湳窟19-1號","121.660398333333","24.9912883333333","6501900","石碇區"
"223001","592-UM","2019/11/21 06:43:40","新北市石碇區湳窟29號","121.66273","24.9919233333333","6501900","石碇區"
"223004","660-BX","2019/11/21 06:43:57","新北市石碇區小粗坑(潭邊里)2-1號","121.671426666667","24.9825666666667","6501900","石碇區"
"223007","661-BX","2019/11/21 06:43:59","新北市石碇區雙溪33-5號","121.649911666667","25.0090533333333","6501900","石碇區"
"227005","030-BX","2019/11/21 06:43:52","新北市雙溪區新基里朝陽街18號","121.865938333333","25.0387516666667","6502500","雙溪區"
